name,state,religion
Lisa Murkowski,AK,Catholic
Dan Sullivan,AK,Catholic
Katie Britt,AL,Methodist
Tommy Tuberville,AL,Restorationist
John Boozman,AR,Baptist
Tom Cotton,AR,Methodist
Ruben Gallego,AZ,Catholic
Mark Kelly,AZ,Catholic
Alex Padilla,CA,Catholic
Adam Schiff,CA,Jewish
Michael Bennet,CO,Don't know/refused
John Hickenlooper,CO,Episcopalian
Richard Blumenthal,CT,Jewish
Christopher Murphy,CT,Protestant unspecified
Lisa Blunt Rochester,DE,Protestant unspecified
Chris Coons,DE,Presbyterian
Marco Rubio,FL,Catholic
Rick Scott,FL,Protestant unspecified
Jon Ossoff,GA,Jewish
Raphael Warnock,GA,Baptist
Brian Schatz,HI,Jewish
Mazie Hirono,HI,Buddhist
Joni Ernst,IA,Lutheran
Charles Grassley,IA,Baptist
Michael Crapo,ID,Mormon
Jim Risch,ID,Catholic
Tammy Duckworth,IL,Don't know/refused
Richard Durbin,IL,Catholic
Jim Banks,IN,Protestant unspecified
Todd Young,IN,Protestant unspecified
Roger Marshall,KS,Nondenominational
Jerry Moran,KS,Protestant unspecified
Mitch McConnell,KY,Baptist
Rand Paul,KY,Presbyterian
Bill Cassidy,LA,Protestant unspecified
John Kennedy,LA,Methodist
Edward Markey,MA,Catholic
Elizabeth Warren,MA,Methodist
Angela Alsobrooks,MD,Baptist
Chris Van Hollen,MD,Episcopalian
Susan Collins,ME,Catholic
Angus King,ME,Episcopalian
Gary Peters,MI,Episcopalian
Elissa Slotkin,MI,Jewish
Amy Klobuchar,MN,Congregationalist
Tina Smith,MN,Presbyterian
Josh Hawley,MO,Protestant unspecified
Eric Schmitt,MO,Catholic
Cindy Hyde-Smith,MS,Baptist
Roger Wicker,MS,Baptist
Steve Daines,MT,Presbyterian
Tim Sheehy,MT,Lutheran
Ted Budd,NC,Nondenominational
Thom Tillis,NC,Catholic
Kevin Cramer,ND,Protestant unspecified
John Hoeven,ND,Catholic
Deb Fischer,NE,Presbyterian
Pete Ricketts,NE,Catholic
Maggie Hassan,NH,Congregationalist
Jeanne Shaheen,NH,Protestant unspecified
Cory Booker,NJ,Baptist
Andy Kim,NJ,Presbyterian
Ben Ray Lujan,NM,Catholic
Martin Heinrich,NM,Lutheran
Catherine Cortez Masto,NV,Catholic
Jacky Rosen,NV,Jewish
Kirsten Gillibrand,NY,Catholic
Charles Schumer,NY,Jewish
Bernie Moreno,OH,Catholic
James Lankford,OK,Baptist
Markwayne Mullin,OK,Pentecostal
Jeff Merkley,OR,Lutheran
Ron Wyden,OR,Jewish
John Fetterman,PA,Don't know/refused
Dave McCormick,PA,Presbyterian
Jack Reed,RI,Catholic
Sheldon Whitehouse,RI,Episcopalian
Lindsey Graham,SC,Baptist
Tim Scott,SC,Protestant unspecified
Mike Rounds,SD,Catholic
John Thune,SD,Protestant unspecified
Marsha Blackburn,TN,Presbyterian
Bill Hagerty,TN,Episcopalian
John Cornyn,TX,Nondenominational
Ted Cruz,TX,Baptist
John Curtis,UT,Mormon
Mike Lee,UT,Mormon
Tim Kaine,VA,Catholic
Mark Warner,VA,Presbyterian
Bernie Sanders,VT,Jewish
Peter Welch,VT,Catholic
Maria Cantwell,WA,Catholic
Patty Murray,WA,Catholic
Tammy Baldwin,WI,Don't know/refused
Ron Johnson,WI,Lutheran
Jim Justice,WV,Baptist
Shelley Moore Capito,WV,Presbyterian
John Barrasso,WY,Presbyterian
Cynthia Lummis,WY,Lutheran
