senator_id,name,full_name,birthdate,gender,race_ethnicity,education,committee_roles,religion
Adam_Schiff_CA,Adam Schiff,Adam Schiff,1960-06-22,Male,,"[{""degree"": ""BA"", ""institution"": ""stanford university"", ""year"": null}, {""degree"": ""JD"", ""institution"": ""harvard university"", ""year"": null}]","Senate Committee on Agriculture, Nutrition, and Forestry|Commodities, Derivatives, Risk Management, and Trade|Conservation, Forestry, Natural Resources, and Biotechnology|Senate Committee on Environment and Public Works|Clean Air, Climate, and Nuclear Innovation and Safety|Fisheries, Wildlife, and Water (Ranking Member)|Transportation and Infrastructure|Senate Committee on Small Business and Entrepreneurship|Senate Committee on the Judiciary|Antitrust, Competition Policy, and Consumer Rights|Intellectual Property (Ranking Member)|Privacy, Technology, and the Law|the Constitution",Jewish
Alan_Armstrong_OK,Alan Armstrong,Alan Armstrong,,,,,,
Alex_Padilla_CA,Alex Padilla,Alex Padilla,1973-03-22,Male,,"[{""degree"": ""BS"", ""institution"": ""massachusetts institute technology"", ""year"": null}]","Senate Committee on Energy and Natural Resources|Energy|Public Lands, Forests, and Mining|Water and Power|Senate Committee on Environment and Public Works|Clean Air, Climate, and Nuclear Innovation and Safety|Fisheries, Wildlife, and Water|Transportation and Infrastructure|Senate Committee on Rules and Administration (Ranking Member)|Senate Committee on the Budget|Senate Committee on the Judiciary|Federal Courts, Oversight, Agency Action, and Federal Rights|Border Security and Immigration (Ranking Member)|Privacy, Technology, and the Law|the Constitution|Joint Committee on Printing|Joint Committee of Congress on the Library",Catholic
Amy_Klobuchar_MN,Amy Klobuchar,Amy Klobuchar,1960-05-25,Female,,"[{""degree"": ""BA"", ""institution"": ""yale university"", ""year"": null}, {""degree"": ""JD"", ""institution"": ""university chicago"", ""year"": null}]","Senate Committee on Agriculture, Nutrition, and Forestry (Ranking Member)|Commodities, Derivatives, Risk Management, and Trade (Ex Officio)|Conservation, Forestry, Natural Resources, and Biotechnology (Ex Officio)|Food and Nutrition, Specialty Crops, Organics, and Research (Ex Officio)|Livestock, Dairy, Poultry, and Food Safety (Ex Officio)|Rural Development, Energy, and Credit (Ex Officio)|Senate Committee on Commerce, Science, and Transportation|Telecommunications and Media|Consumer Protection, Technology, and Data Privacy|Surface Transportation, Freight, Pipelines, and Safety|Senate Committee on Rules and Administration|Senate Committee on the Judiciary|Antitrust, Competition Policy, and Consumer Rights|Crime and Counterterrorism|Border Security and Immigration|Privacy, Technology, and the Law (Ranking Member)|Joint Committee of Congress on the Library|Joint Economic Committee",Congregationalist
Andy_Kim_NJ,Andy Kim,Andy Kim,1982-07-12,Male,,"[{""degree"": null, ""institution"": ""deep springs college"", ""year"": null}, {""degree"": ""BA"", ""institution"": ""university chicago"", ""year"": null}, {""degree"": null, ""institution"": ""magdalen college oxford"", ""year"": null}]","Senate Committee on Banking, Housing, and Urban Affairs|Financial Institutions and Consumer Protection|National Security and International Trade and Finance (Ranking Member)|Securities, Insurance, and Investment|Senate Committee on Commerce, Science, and Transportation|Aviation, Space, and Innovation|Telecommunications and Media|Surface Transportation, Freight, Pipelines, and Safety|Senate Committee on Health, Education, Labor, and Pensions|Education and the American Family|Primary Health and Retirement Security|Senate Committee on Homeland Security and Governmental Affairs|Permanent Subcommittee on Investigations|Disaster Management, District of Columbia, and Census (Ranking Member)|Senate Special Committee on Aging",Presbyterian
Angela_Alsobrooks_MD,Angela Alsobrooks,Angela Alsobrooks,1971-02-23,Female,,"[{""degree"": ""BA"", ""institution"": ""duke university"", ""year"": null}, {""degree"": ""JD"", ""institution"": ""university maryland baltimore"", ""year"": null}]","Senate Committee on Banking, Housing, and Urban Affairs|Financial Institutions and Consumer Protection|Housing, Transportation, and Community Development|Securities, Insurance, and Investment|Senate Committee on Environment and Public Works|Fisheries, Wildlife, and Water|Transportation and Infrastructure (Ranking Member)|Senate Committee on Health, Education, Labor, and Pensions|Education and the American Family|Employment and Workplace Safety|Senate Special Committee on Aging",Baptist
Angus_King_ME,Angus King,Angus King,1944-03-31,Male,,"[{""degree"": ""BA"", ""institution"": ""dartmouth college"", ""year"": null}, {""degree"": ""JD"", ""institution"": ""university virginia"", ""year"": null}]","Senate Committee on Armed Services|Airland|Seapower|Strategic Forces (Ranking Member)|Senate Committee on Energy and Natural Resources|Energy|National Parks (Ranking Member)|Public Lands, Forests, and Mining|Senate Committee on Veterans' Affairs|Senate Select Committee on Intelligence",Episcopalian
Ashley_Moody_FL,Ashley Moody,Ashley Moody,1975-03-28,Female,,"[{""degree"": ""BS"", ""institution"": ""university florida"", ""year"": null}, {""degree"": ""MS"", ""institution"": ""university florida"", ""year"": null}, {""degree"": ""JD"", ""institution"": ""university florida"", ""year"": null}, {""degree"": null, ""institution"": ""stetson university"", ""year"": null}]","Senate Committee on Health, Education, Labor, and Pensions|Education and the American Family|Primary Health and Retirement Security|Senate Committee on Homeland Security and Governmental Affairs|Disaster Management, District of Columbia, and Census|Border Management, Federal Workforce, and Regulatory Affairs|Senate Committee on the Judiciary|Antitrust, Competition Policy, and Consumer Rights|Border Security and Immigration|Intellectual Property|Privacy, Technology, and the Law|Joint Economic Committee|Senate Special Committee on Aging",
Ben_Ray_Lujan_NM,Ben Ray Lujan,Ben Ray Luján,1972-06-07,Male,,"[{""degree"": null, ""institution"": ""new mexico highlands university"", ""year"": null}]","Senate Committee on Agriculture, Nutrition, and Forestry|Conservation, Forestry, Natural Resources, and Biotechnology|Food and Nutrition, Specialty Crops, Organics, and Research (Ranking Member)|Rural Development, Energy, and Credit|Senate Committee on Commerce, Science, and Transportation|Telecommunications and Media (Ranking Member)|Consumer Protection, Technology, and Data Privacy|Surface Transportation, Freight, Pipelines, and Safety|Senate Committee on Finance|Energy, Natural Resources, and Infrastructure|Health Care|Taxation and IRS Oversight|Senate Committee on Indian Affairs|Senate Committee on the Budget|United States Senate Caucus on International Narcotics Control",Catholic
Bernie_Moreno_OH,Bernie Moreno,Bernie Moreno,1967-02-14,Male,,"[{""degree"": null, ""institution"": ""university michigan"", ""year"": null}]","Senate Committee on Banking, Housing, and Urban Affairs|Housing, Transportation, and Community Development|Securities, Insurance, and Investment|Senate Committee on Commerce, Science, and Transportation|Telecommunications and Media|Coast Guard, Maritime, and Fisheries|Science, Manufacturing, and Competitiveness|Surface Transportation, Freight, Pipelines, and Safety|Senate Committee on Homeland Security and Governmental Affairs|Permanent Subcommittee on Investigations|Border Management, Federal Workforce, and Regulatory Affairs|Senate Committee on the Budget|United States Senate Caucus on International Narcotics Control|Digital Assets",Catholic
Bernie_Sanders_VT,Bernie Sanders,Bernie Sanders,1941-09-08,Male,,"[{""degree"": null, ""institution"": ""brooklyn college"", ""year"": null}, {""degree"": ""BA"", ""institution"": ""university chicago"", ""year"": null}]","Senate Committee on Environment and Public Works|Chemical Safety, Waste Management, Environmental Justice, and Regulatory Oversight|Clean Air, Climate, and Nuclear Innovation and Safety|Fisheries, Wildlife, and Water|Senate Committee on Finance|Health Care|Social Security, Pensions, and Family Policy (Ranking Member)|Taxation and IRS Oversight|Senate Committee on Health, Education, Labor, and Pensions (Ranking Member)|Education and the American Family (Ex Officio)|Employment and Workplace Safety (Ex Officio)|Primary Health and Retirement Security (Ex Officio)|Senate Committee on the Budget|Senate Committee on Veterans' Affairs",Jewish
Bill_Cassidy_LA,Bill Cassidy,Bill Cassidy,1957-09-28,Male,,"[{""degree"": ""BS"", ""institution"": ""louisiana state university"", ""year"": null}, {""degree"": ""MD"", ""institution"": ""louisiana state university"", ""year"": null}]","Senate Committee on Energy and Natural Resources|Energy|National Parks|Water and Power|Senate Committee on Finance|Fiscal Responsibility and Economic Growth|Health Care|Taxation and IRS Oversight|Senate Committee on Health, Education, Labor, and Pensions (Chairman)|Education and the American Family (Ex Officio)|Employment and Workplace Safety (Ex Officio)|Primary Health and Retirement Security (Ex Officio)|Senate Committee on Veterans' Affairs",Protestant unspecified
Bill_Hagerty_TN,Bill Hagerty,Bill Hagerty,1959-08-14,Male,,"[{""degree"": ""BA"", ""institution"": ""vanderbilt university"", ""year"": null}, {""degree"": ""JD"", ""institution"": ""vanderbilt university"", ""year"": null}]","Senate Committee on Appropriations|Commerce, Justice, Science, and Related Agencies|Energy and Water Development|Financial Services and General Government (Chairman)|Department of Homeland Security|Military Construction, Veterans Affairs, and Related Agencies|State, Foreign Operations, and Related Programs|Senate Committee on Banking, Housing, and Urban Affairs|Financial Institutions and Consumer Protection|National Security and International Trade and Finance (Chairman)|Senate Committee on Foreign Relations|Multilateral International Development, Multilateral Institutions, and International Economic, Energy, and Environmental Policy|State Department and USAID Management, International Operations, and Bilateral International Development (Chairman)|Western Hemisphere, Transnational Crime, Civilian Security, Democracy, Human Rights, and Global Women's Issues|Senate Committee on Rules and Administration|Joint Committee on Printing|Digital Assets",Episcopalian
Brian_Schatz_HI,Brian Schatz,Brian Schatz,1972-10-20,Male,,"[{""degree"": ""BA"", ""institution"": ""pomona college"", ""year"": null}]","Senate Committee on Appropriations|Commerce, Justice, Science, and Related Agencies|Department of Defense|Departments of Labor, Health and Human Services, and Education, and Related Agencies|Military Construction, Veterans Affairs, and Related Agencies|State, Foreign Operations, and Related Programs (Ranking Member)|Transportation, Housing and Urban Development, and Related Agencies|Senate Committee on Commerce, Science, and Transportation|Telecommunications and Media|Consumer Protection, Technology, and Data Privacy|Coast Guard, Maritime, and Fisheries|Surface Transportation, Freight, Pipelines, and Safety|Senate Committee on Foreign Relations|East Asia, the Pacific, and International Cybersecurity Policy|Europe and Regional Security Cooperation|Multilateral International Development, Multilateral Institutions, and International Economic, Energy, and Environmental Policy|Senate Committee on Indian Affairs (Vice Chairman)|Senate Select Committee on Ethics",Jewish
Catherine_Cortez_Masto_NV,Catherine Cortez Masto,Catherine Cortez Masto,1964-03-29,Female,,"[{""degree"": ""BS"", ""institution"": ""university nevada reno"", ""year"": null}, {""degree"": ""JD"", ""institution"": ""gonzaga university"", ""year"": null}]","Senate Committee on Banking, Housing, and Urban Affairs|Financial Institutions and Consumer Protection (Ranking Member)|National Security and International Trade and Finance|Securities, Insurance, and Investment|Senate Committee on Energy and Natural Resources|Energy|Public Lands, Forests, and Mining (Ranking Member)|Water and Power|Senate Committee on Finance|Health Care|International Trade, Customs, and Global Competitiveness|Social Security, Pensions, and Family Policy|Senate Committee on Indian Affairs",Catholic
